user,churn,age,credit_score,housing,payment_type,is_referred,total_deposits,total_withdrawals,total_purchases,total_partner_purchases,credit_card_applications,waiting_for_loan,cancelled_loan,received_loan,rejected_loan,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,rewards_earned,reward_rate,age_group,credit_score_band,activity_score,activity_segment,rewards_segment,loan_status,platform_segment,risk_score,risk_segment,recommended_action
7069,1,38.0,418.0,R,Bi-Weekly,0,0,0,0,0,6,0,0,0,0,1,1,1,0,1,2,36.0,1.2,35-44,Under 500,6,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
7070,0,40.0,509.0,R,Bi-Weekly,1,0,0,0,70,6,0,0,0,0,1,0,0,0,1,0,58.0,1.93,35-44,500-599,76,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
7071,1,27.0,522.0,R,Weekly,0,0,0,0,40,5,0,0,0,0,1,0,0,0,1,0,37.0,1.23,25-34,500-599,45,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7073,1,32.0,550.0,R,Bi-Weekly,1,0,0,0,14,21,0,0,0,0,1,1,1,1,0,0,35.0,1.17,25-34,500-599,35,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7075,1,23.0,537.0,O,Bi-Weekly,1,13,2,13,125,20,0,1,0,0,1,1,1,1,0,2,50.0,1.67,18-24,500-599,171,High Activity,Low Rewards,Cancelled Loan,App + Web,25,Low Risk,Loan journey follow-up and clearer next steps
7077,0,22.0,411.0,R,Bi-Weekly,1,0,0,0,42,6,0,0,0,0,1,1,1,0,1,0,22.0,0.73,18-24,Under 500,48,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7078,0,26.0,607.0,R,Bi-Weekly,1,0,0,0,13,3,0,0,0,0,1,0,0,0,1,2,15.0,0.5,25-34,600-699,16,Low Activity,Low Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
7080,1,39.0,555.0,R,Bi-Weekly,1,0,0,0,0,10,0,0,0,0,1,1,1,0,1,3,86.0,2.87,35-44,500-599,10,Low Activity,High Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7081,0,43.0,548.0,na,na,1,0,0,0,13,8,0,0,0,0,1,1,1,0,1,2,61.0,2.03,35-44,500-599,21,Moderate Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7082,1,20.0,590.0,R,Bi-Weekly,1,0,0,0,61,13,0,0,0,0,1,0,0,0,1,0,46.0,1.53,18-24,500-599,74,High Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7083,0,35.0,,na,Semi-Monthly,1,0,0,0,148,12,0,0,0,0,1,1,1,1,0,0,22.0,0.37,35-44,Missing,160,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7085,0,31.0,,na,na,0,0,0,0,0,19,0,0,0,0,1,1,1,1,0,0,14.0,0.47,25-34,Missing,19,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7092,0,20.0,,na,Weekly,0,0,0,0,67,0,0,0,0,0,1,1,1,0,1,0,50.0,1.67,18-24,Missing,67,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7093,0,29.0,,R,Monthly,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2.0,0.0699999999999999,25-34,Missing,1,Very Low Activity,Low Rewards,No Loan Interaction,App Only,45,Medium Risk,Maintain engagement with lifecycle messaging
7095,1,20.0,619.0,R,Weekly,1,0,0,0,16,11,0,0,0,0,1,1,1,1,0,0,55.0,1.83,18-24,600-699,27,Moderate Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7096,1,21.0,463.0,R,Weekly,0,0,0,0,0,20,0,0,0,0,1,1,1,0,1,0,41.0,1.37,18-24,Under 500,20,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7097,1,38.0,535.0,R,na,0,2,0,2,0,19,0,0,0,0,1,1,1,1,0,2,65.0,2.17,35-44,500-599,23,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7102,1,23.0,488.0,R,Bi-Weekly,1,0,0,0,48,7,0,0,0,0,1,1,1,1,0,0,24.0,0.8,18-24,Under 500,55,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7103,0,41.0,500.0,na,Bi-Weekly,1,20,3,20,26,8,0,0,0,0,1,1,1,1,0,0,18.0,0.62,35-44,500-599,74,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7105,0,52.0,583.0,R,Bi-Weekly,1,0,0,0,0,12,0,0,0,0,1,1,1,0,1,0,65.0,2.17,45-54,500-599,12,Low Activity,High Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7106,1,20.0,568.0,na,Bi-Weekly,0,0,0,0,0,3,0,0,0,0,1,1,1,0,1,0,25.0,0.83,18-24,500-599,3,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,55,Medium Risk,Maintain engagement with lifecycle messaging
7108,0,19.0,548.0,R,Semi-Monthly,1,4,0,4,140,27,0,0,0,0,1,1,1,0,1,0,66.0,2.2,18-24,500-599,175,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7109,0,41.0,505.0,na,Weekly,0,0,0,0,13,4,0,0,0,0,1,1,1,1,0,0,7.0,0.23,35-44,500-599,17,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
7114,0,39.0,602.0,na,Bi-Weekly,1,0,0,0,23,12,0,0,0,0,1,1,1,1,0,0,14.0,0.47,35-44,600-699,35,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7116,0,64.0,660.0,R,Monthly,1,15,1,15,6,8,0,0,0,0,1,0,0,1,0,0,66.0,2.2,55+,600-699,44,Moderate Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
7117,1,22.0,,O,Bi-Weekly,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,28.0,0.93,18-24,Missing,2,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
7123,0,25.0,581.0,R,Semi-Monthly,1,30,0,27,303,39,0,0,0,0,1,1,1,0,1,0,168.0,1.87,25-34,500-599,399,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7125,0,37.0,474.0,R,Bi-Weekly,1,7,1,7,82,14,0,0,0,0,1,1,1,0,1,0,42.0,1.4,35-44,Under 500,110,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7126,0,37.0,606.0,R,na,1,0,0,0,140,35,0,0,0,0,1,1,1,0,1,0,66.0,2.2,35-44,600-699,175,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7130,0,20.0,687.0,na,Bi-Weekly,0,0,0,0,5,2,0,0,0,0,1,0,0,0,1,0,3.0,0.1,18-24,600-699,7,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
7131,0,20.5,576.5,R,Bi-Weekly,1,10,2,10,96,28,0,0,1,0,1,1,1,0,1,0,54.0,0.9,18-24,500-599,144,High Activity,High Rewards,Received Loan,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7135,1,38.0,506.0,R,na,0,0,0,0,0,28,0,0,0,0,1,1,1,0,1,2,52.0,1.73,35-44,500-599,28,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7136,0,72.0,574.0,O,Monthly,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1.0,0.03,55+,500-599,1,Very Low Activity,Low Rewards,Rejected Loan,App + Web,80,High Risk,Activation campaign: prompt first deposit or purchase
7144,0,20.5,535.5,R,Semi-Monthly,0,0,0,0,0,56,0,0,0,0,1,1,1,0,1,0,142.0,2.37,18-24,500-599,56,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7146,1,23.0,,na,na,0,0,0,0,41,1,0,0,0,0,1,0,0,0,1,2,25.0,0.83,18-24,Missing,42,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7150,0,29.0,519.0,R,Bi-Weekly,1,50,1,50,73,29,0,0,0,0,1,1,1,1,1,2,60.0,2.0,25-34,500-599,202,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7155,0,24.0,,na,na,0,0,0,0,43,0,0,0,0,0,1,0,0,0,1,0,36.0,1.2,18-24,Missing,43,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7163,0,31.0,560.0,na,Weekly,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2.0,0.0699999999999999,25-34,500-599,0,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,55,Medium Risk,Maintain engagement with lifecycle messaging
7167,0,23.0,464.0,R,Weekly,0,0,0,0,13,3,0,0,0,0,1,1,1,1,0,0,11.0,0.37,18-24,Under 500,16,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
7174,0,39.0,,na,Semi-Monthly,0,0,0,0,0,5,0,0,0,0,1,1,1,0,1,0,67.0,2.23,35-44,Missing,5,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7175,0,26.0,541.0,na,Weekly,0,0,0,0,77,8,0,0,0,0,1,1,1,1,0,0,60.0,2.0,25-34,500-599,85,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7177,1,59.0,460.0,R,Monthly,1,2,0,2,0,61,0,0,0,0,1,1,1,1,0,0,61.0,2.03,55+,Under 500,65,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7178,1,50.0,493.0,R,Semi-Monthly,1,47,0,47,35,86,0,0,0,0,1,1,1,1,0,2,57.0,1.9,45-54,Under 500,215,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7179,1,30.0,514.0,O,Bi-Weekly,0,11,0,11,19,1,0,0,0,0,1,0,0,0,1,0,6.0,0.2,25-34,500-599,42,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7183,1,28.0,526.0,O,Bi-Weekly,1,0,0,0,0,22,0,0,0,0,1,1,1,1,0,2,42.0,1.4,25-34,500-599,22,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7185,1,28.0,,na,Semi-Monthly,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2.0,0.67,25-34,Missing,0,Very Low Activity,Low Rewards,No Loan Interaction,App + Web,55,Medium Risk,Maintain engagement with lifecycle messaging
7186,0,29.0,442.0,O,Bi-Weekly,1,38,1,38,83,11,0,0,0,0,1,1,1,0,1,0,55.0,1.83,25-34,Under 500,170,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7194,0,28.0,583.0,R,Bi-Weekly,0,0,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0.0,0.0,25-34,500-599,3,Very Low Activity,No Rewards,No Loan Interaction,App + Web,65,High Risk,Activation campaign: prompt first deposit or purchase
7197,1,25.0,478.0,na,Bi-Weekly,0,0,0,0,9,3,0,0,0,0,1,0,0,0,1,0,21.0,0.7,25-34,Under 500,12,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
7201,0,51.0,586.0,na,Bi-Weekly,0,0,0,0,0,19,0,0,0,0,1,1,1,0,1,0,69.0,2.3,45-54,500-599,19,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7203,0,38.5,505.0,R,Bi-Weekly,1,0,0,0,164,18,0,0,0,0,1,0,0,0,1,0,110.0,1.83,35-44,500-599,182,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
7206,1,20.0,,O,Bi-Weekly,1,0,0,0,3,12,0,0,0,0,1,0,0,0,1,2,53.0,1.77,18-24,Missing,15,Low Activity,High Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7208,1,38.0,534.0,R,Bi-Weekly,1,21,3,21,41,19,0,0,0,0,1,1,1,0,1,0,32.0,1.0699999999999998,35-44,500-599,102,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7209,0,40.0,576.0,R,Weekly,1,88,0,88,54,10,0,0,0,0,1,1,1,1,0,0,134.0,2.23,35-44,500-599,240,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7210,1,37.0,486.0,O,Monthly,0,49,1,49,122,10,0,0,0,0,1,1,1,1,0,0,35.0,1.17,35-44,Under 500,230,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7212,0,31.0,533.0,R,Bi-Weekly,1,17,3,16,172,56,0,0,0,0,1,1,1,0,1,0,55.0,1.83,25-34,500-599,261,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7216,1,34.0,567.0,R,Monthly,0,0,0,0,0,15,0,0,0,0,1,1,1,0,1,0,53.0,1.77,25-34,500-599,15,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7217,0,38.0,585.0,na,Weekly,0,0,0,0,186,30,0,0,0,0,1,1,1,0,1,2,102.0,1.7,35-44,500-599,216,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7218,1,23.0,504.0,R,Bi-Weekly,1,0,0,0,7,3,0,0,0,0,1,0,0,0,1,0,18.0,0.6,18-24,500-599,10,Low Activity,Low Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
7222,1,22.0,512.0,O,Bi-Weekly,1,3,0,3,30,8,0,0,0,0,1,0,0,0,1,2,18.0,0.6,18-24,500-599,44,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7224,0,28.0,622.5,R,Weekly,0,0,0,0,0,22,0,0,0,0,1,1,1,1,0,2,104.0,1.73,25-34,600-699,22,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7228,1,33.0,,na,Weekly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,0.0699999999999999,25-34,Missing,0,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
7230,1,45.0,553.0,na,Bi-Weekly,1,31,2,31,44,20,0,0,0,0,1,1,1,1,0,0,39.0,1.3,45-54,500-599,126,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7236,1,18.0,,na,na,0,0,0,0,0,30,0,0,1,0,1,0,0,1,0,0,27.0,0.9,18-24,Missing,30,Moderate Activity,Low Rewards,Received Loan,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7239,0,35.0,,O,Weekly,1,2,0,1,7,6,0,0,0,0,1,1,1,1,0,0,2.0,0.0,35-44,Missing,16,Low Activity,Low Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7242,1,38.0,507.0,na,Bi-Weekly,0,1,0,1,14,10,0,0,0,0,1,0,0,0,1,0,44.0,1.47,35-44,500-599,26,Moderate Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7245,1,31.0,467.0,R,Bi-Weekly,1,0,0,0,22,0,0,0,0,0,1,0,0,0,1,0,13.0,0.43,25-34,Under 500,22,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7247,1,33.0,429.0,R,Bi-Weekly,1,46,1,46,40,26,0,0,0,0,1,1,1,0,1,0,56.0,1.87,25-34,Under 500,158,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7248,0,23.0,558.0,R,Bi-Weekly,1,23,1,23,40,9,0,0,0,0,1,0,0,1,0,0,29.0,0.97,18-24,500-599,95,High Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7251,0,26.0,543.0,O,na,1,1,1,1,33,2,0,0,0,0,1,1,1,0,1,0,16.0,0.53,25-34,500-599,37,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7253,0,22.0,592.0,R,Bi-Weekly,0,0,0,0,3,5,0,0,0,0,1,0,0,1,0,0,25.0,0.83,18-24,500-599,8,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
7255,0,31.0,520.0,R,Weekly,1,0,0,0,114,48,0,0,0,0,1,1,1,1,0,2,104.0,1.73,25-34,500-599,162,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7256,0,27.0,,na,Bi-Weekly,0,0,0,0,54,6,0,0,0,0,1,1,1,0,1,0,25.0,0.83,25-34,Missing,60,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7257,0,46.5,677.5,na,Semi-Monthly,0,0,0,0,0,30,0,0,0,0,1,0,0,0,1,0,110.0,1.83,45-54,600-699,30,Moderate Activity,High Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7260,0,27.0,614.0,R,na,1,0,0,0,0,5,0,0,0,0,1,1,1,0,1,0,68.0,2.27,25-34,600-699,5,Low Activity,High Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7262,1,59.0,529.0,na,Weekly,0,0,0,0,0,9,0,0,0,0,1,1,1,1,1,3,31.0,1.03,55+,500-599,9,Low Activity,Low Rewards,No Loan Interaction,App + Web,40,Medium Risk,Maintain engagement with lifecycle messaging
7264,0,30.0,,R,Bi-Weekly,1,0,0,0,18,3,0,0,0,0,1,1,1,0,1,0,13.0,0.8099999999999998,25-34,Missing,21,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7267,0,60.0,538.0,R,Semi-Monthly,1,45,11,45,49,84,0,0,0,0,1,1,1,1,0,0,45.0,1.5,55+,500-599,223,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7270,0,26.0,501.0,R,Bi-Weekly,0,15,0,15,88,16,0,0,0,0,1,1,1,0,1,0,40.0,1.33,25-34,500-599,134,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7271,0,21.5,598.0,R,Semi-Monthly,0,0,0,0,0,4,0,0,1,0,1,0,0,0,1,0,70.0,1.17,18-24,500-599,4,Low Activity,High Rewards,Received Loan,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
7274,0,35.0,678.0,R,Monthly,0,60,16,59,111,60,0,0,0,0,1,1,1,0,1,0,67.0,2.23,35-44,600-699,290,High Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7278,0,24.0,477.0,R,Bi-Weekly,1,0,0,0,174,12,0,0,0,0,1,0,0,1,0,0,58.0,0.97,18-24,Under 500,186,High Activity,High Rewards,No Loan Interaction,App Only,0,Low Risk,Maintain engagement with lifecycle messaging
7280,1,29.0,526.0,R,Weekly,1,0,0,0,0,36,0,0,0,0,1,1,1,0,1,2,67.0,2.23,25-34,500-599,36,Moderate Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7281,0,25.0,688.0,R,Bi-Weekly,0,0,0,0,0,23,0,0,0,0,1,1,1,0,1,0,56.0,1.87,25-34,600-699,23,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7282,1,59.0,533.0,na,Weekly,0,0,0,0,47,8,0,0,0,0,1,1,1,0,1,0,33.0,1.1,55+,500-599,55,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7286,1,42.0,,na,Semi-Monthly,0,0,0,0,5,7,0,0,0,0,1,0,0,0,1,0,53.0,1.77,35-44,Missing,12,Low Activity,High Rewards,No Loan Interaction,App Only,30,Medium Risk,Maintain engagement with lifecycle messaging
7287,0,31.0,560.0,R,Monthly,1,0,0,0,0,13,0,0,0,0,1,1,1,0,1,0,61.0,2.03,25-34,500-599,13,Low Activity,High Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7289,0,18.0,591.0,O,Monthly,0,3,0,2,93,32,0,0,0,0,1,1,1,0,1,0,32.0,1.0699999999999998,18-24,500-599,130,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7290,0,26.0,502.0,R,Bi-Weekly,0,2,1,2,46,5,0,0,0,0,1,1,1,0,1,3,58.0,1.93,25-34,500-599,55,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7294,0,24.0,515.0,R,Monthly,1,11,1,8,109,17,0,0,0,0,1,1,1,0,1,0,61.0,2.03,18-24,500-599,145,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7299,1,21.0,675.0,na,Bi-Weekly,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,47.0,1.5699999999999998,18-24,600-699,5,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
7301,0,25.0,,R,Bi-Weekly,0,2,1,2,75,3,0,0,0,0,1,0,0,0,1,0,42.0,1.4,25-34,Missing,82,High Activity,Low Rewards,No Loan Interaction,App Only,20,Low Risk,Maintain engagement with lifecycle messaging
7305,1,23.0,,na,Bi-Weekly,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,6.0,0.2,18-24,Missing,3,Very Low Activity,Low Rewards,No Loan Interaction,App Only,55,Medium Risk,Maintain engagement with lifecycle messaging
7306,0,30.0,596.0,R,Bi-Weekly,0,0,0,0,0,16,0,0,0,0,1,1,1,1,0,0,66.0,2.2,25-34,500-599,16,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7307,0,24.0,489.0,R,Weekly,1,0,0,0,37,3,0,0,0,0,1,0,0,0,1,0,27.0,0.9,18-24,Under 500,40,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7308,0,37.0,491.0,O,Bi-Weekly,1,1,1,1,43,13,0,0,0,0,1,0,0,0,1,0,30.0,1.0,35-44,Under 500,58,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7310,1,46.0,481.0,R,Weekly,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,45-54,Under 500,4,Low Activity,No Rewards,No Loan Interaction,App Only,50,Medium Risk,Introduce rewards education or welcome offer
7315,1,40.0,,na,na,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,3,60.0,2.0,35-44,Missing,3,Very Low Activity,High Rewards,No Loan Interaction,App Only,45,Medium Risk,Maintain engagement with lifecycle messaging
7317,1,29.0,530.0,R,Bi-Weekly,0,0,0,0,0,18,0,0,0,0,1,0,0,0,1,0,37.0,1.23,25-34,500-599,18,Low Activity,Low Rewards,No Loan Interaction,App Only,40,Medium Risk,Maintain engagement with lifecycle messaging
7326,1,51.0,558.0,R,na,0,44,2,41,63,22,0,0,0,0,1,1,1,1,0,0,20.0,0.67,45-54,500-599,170,High Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7330,1,24.0,,na,Bi-Weekly,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,52.0,1.73,18-24,Missing,0,Very Low Activity,High Rewards,No Loan Interaction,App + Web,45,Medium Risk,Maintain engagement with lifecycle messaging
7331,1,39.0,508.0,R,Bi-Weekly,1,1,1,1,68,21,0,0,0,0,1,1,1,0,1,0,49.0,1.63,35-44,500-599,91,High Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7333,0,28.0,,R,Bi-Weekly,0,0,0,0,41,8,0,0,0,0,1,1,1,0,1,0,54.0,1.8,25-34,Missing,49,Moderate Activity,High Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7335,0,51.0,581.0,R,Monthly,1,5,2,5,64,7,0,0,0,0,1,1,1,0,1,0,62.0,2.07,45-54,500-599,81,High Activity,High Rewards,No Loan Interaction,App + Web,0,Low Risk,Maintain engagement with lifecycle messaging
7336,0,27.5,518.0,R,Bi-Weekly,0,0,0,0,0,18,0,0,0,0,1,1,1,1,0,2,116.0,1.93,25-34,500-599,18,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7337,0,46.0,555.0,R,Monthly,0,0,0,0,0,8,0,0,0,0,1,1,1,0,1,0,54.0,1.8,45-54,500-599,8,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
7341,0,24.0,,na,Bi-Weekly,0,1,0,1,52,0,0,0,0,0,1,1,1,0,1,0,31.0,1.03,18-24,Missing,54,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,20,Low Risk,Maintain engagement with lifecycle messaging
7345,0,26.5,536.5,na,Weekly,1,0,0,0,18,8,0,0,0,0,1,0,0,1,0,0,8.0,0.13,25-34,500-599,26,Moderate Activity,Low Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7349,0,34.0,478.0,na,Bi-Weekly,0,2,0,2,49,2,0,0,0,0,1,0,0,0,1,0,59.0,1.97,25-34,Under 500,55,Moderate Activity,High Rewards,No Loan Interaction,App Only,10,Low Risk,Maintain engagement with lifecycle messaging
7350,0,38.0,,na,Semi-Monthly,1,0,0,0,55,4,0,0,0,0,1,1,1,0,1,2,45.0,1.5,35-44,Missing,59,Moderate Activity,Low Rewards,No Loan Interaction,App + Web,10,Low Risk,Maintain engagement with lifecycle messaging
7352,1,44.0,617.0,R,Monthly,0,0,0,0,0,17,0,0,0,0,1,1,1,0,1,0,67.0,2.23,35-44,600-699,17,Low Activity,High Rewards,No Loan Interaction,App + Web,30,Medium Risk,Maintain engagement with lifecycle messaging
